f30,f365
,461.60938257748967
,461.7131725606432
,461.81637585838325
,461.9190191382286
,462.0210223976228
,462.1225456416787
,462.2233488627271
,462.3235920658808
,462.4233285861774
,462.52253175609803
,462.6209882354924
,462.71891136451086
,462.8163278106722
,462.91315757142
,463.00937397923553
,463.10500370163754
,463.19999340358845
,463.29452975771983
,463.3885060939565
,463.48184240974206
,463.5747253777081
,463.6670483277794
,463.7587579249184
,463.8500408417567
,463.9407104056627
,464.03076661663636
,464.1202628097153
,464.20933232249354
,464.29792181993344
,464.3860046345162
,464.4735274312043
,464.5605168775164
,464.6471063110466
,464.73297572156935
,464.8184451193101
,464.9034611692314
,464.9879438687767
,465.0718932179461
,465.1553092167396
,465.2382452001948
,465.32064783327405
,465.4025171159774
,465.4840130534176
,465.56502897551945
,465.6455115472454
,465.7257274437834
,465.8053033198703
,465.88445251565645
,465.9631216961043
,466.041150856101
,466.1188600058722
,466.19603580526746
,466.2727315893244
,466.3490540281182
,466.42484311653607
,466.5002588596908
,466.5751945875072
,466.6496502999853
,466.72367933216265
,466.79728168403926
,466.87040402057755
,466.9431530118527
,467.0154219877895
,467.0873709535008
,467.15878656883615
,467.22977550387077
,467.30028442356706
,467.3704733330378
,467.4402355622078
,467.5094644410019
,467.57831997453286
,467.64680216280067
,467.71480433573015
,467.7824331633965
,467.8497419808373
,467.91646411286456
,467.9828128996287
,468.0488950112049
,468.1146037775179
,468.17977919345503
,468.2446345991666
,468.30906332457744
,468.37311870472513
,468.43696074472246
,468.5000560941935
,468.56304477358935
,468.6255001026093
,468.6876887564413
,468.7495040650101
,468.8108393582406
,468.87201464635837
,468.9326565841002
,468.99308518169164
,469.05308709898236
,469.11266233597235
,469.1719175627368
,469.23085277927566
,469.2893613155138
,469.3474965064888
,469.4053116872383
,469.462700187687
,469.51982201294777
,469.576623827983
,469.63310563279265
,469.68921409233917
,469.74484253654737
,469.8002576406052
,469.85540606947507
,469.9101278180442
,469.9645828914254
,470.0186646195434
,470.0723730023983
,470.12576137502765
,470.1789364075066
,470.23168475968487
,470.28405976659997
,470.3361680983271
,470.3880097548663
,470.4394780661423
,470.4906797022304
,470.5416679981681
,470.5922296138051
,470.64247121921653
,470.6923394793648
,470.74199439936274
,470.7912759740975
,470.84029087364434
,470.8888790928904
,470.93730730702373
,470.9854688459691
,471.0333103746889
,471.0809918982959
,471.1281934065646
,471.17512823964535
,471.2218497325757
,471.26814454520536
,471.3143326877598
,471.36009415001354
,471.4056422721169
,471.4509237190323
,471.49588515572214
,471.5406332522616
,471.58506133857554
,471.6292760847391
,471.6732241557147
,471.71685221646476
,471.76021360202685
,471.803308312401
,471.84613634758716
,471.8886977075854
,471.93099239239564
,471.97307373705553
,472.01488840652746
,472.05638306577384
,472.09761104983227
,472.1386256937403
,472.179426997498
,472.21985495599256
,472.26012290937433
,472.30012418756814
,472.339858790574
,472.3794333884671
,472.4186879761346
